country,quarter,house_price_index
IE,2009Q4,109.3506
IE,2010Q1,106.1786
IE,2010Q2,101.8253
IE,2010Q3,98.2932
IE,2010Q4,93.8037
IE,2011Q1,88.8813
IE,2011Q2,83.1854
IE,2011Q3,78.1243
IE,2011Q4,73.4192
IE,2012Q1,69.9288
IE,2012Q2,67.7156
IE,2012Q3,68.4153
IE,2012Q4,69.1535
IE,2013Q1,67.0866
IE,2013Q2,66.7638
IE,2013Q3,70.5928
IE,2013Q4,72.8341
IE,2014Q1,73.9763
IE,2014Q2,77.5017
IE,2014Q3,83.8631
IE,2014Q4,87.1173
IE,2015Q1,87.4601
IE,2015Q2,88.6005
IE,2015Q3,91.3004
IE,2015Q4,93.2067
IE,2016Q1,94.1976
IE,2016Q2,94.0526
IE,2016Q3,98.0032
IE,2016Q4,101.2336
IE,2017Q1,102.3971
IE,2017Q2,103.735
IE,2017Q3,109.288
IE,2017Q4,112.6013
IE,2018Q1,114.7648
IE,2018Q2,116.6199
IE,2018Q3,118.3497
IE,2018Q4,119.8911
IE,2019Q1,118.8369
IE,2019Q2,118.1429
IE,2019Q3,119.5683
IE,2019Q4,119.6039
IE,2020Q1,118.7668
IE,2020Q2,118.8835
IE,2020Q3,119.7115
IE,2020Q4,121.8529
IE,2021Q1,122.6536
IE,2021Q2,123.7376
IE,2021Q3,128.5944
IE,2021Q4,131.7516
IE,2022Q1,133.2734
IE,2022Q2,130.9449
IE,2022Q3,132.3715
IE,2022Q4,131.5078
IE,2023Q1,129.75
IE,2023Q2,126.1487
IE,2023Q3,126.3512
IE,2023Q4,129.7843
IE,2024Q1,133.3316
IE,2024Q2,133.4938
IE,2024Q3,136.7761
IE,2024Q4,140.4857
IE,2025Q1,141.2135
IE,2025Q2,141.1978
IE,2025Q3,143.9676
IE,2025Q4,145.9828
IT,2002Q1,85.0619
IT,2002Q2,86.2203
IT,2002Q3,86.847
IT,2002Q4,86.9047
IT,2003Q1,88.159
IT,2003Q2,88.7031
IT,2003Q3,89.8852
IT,2003Q4,90.0229
IT,2004Q1,90.444
IT,2004Q2,91.5761
IT,2004Q3,93.5779
IT,2004Q4,94.8063
IT,2005Q1,96.1278
IT,2005Q2,97.2363
IT,2005Q3,98.5362
IT,2005Q4,99.084
IT,2006Q1,99.6645
IT,2006Q2,100.8111
IT,2006Q3,102.0911
IT,2006Q4,102.7772
IT,2007Q1,103.7053
IT,2007Q2,104.2269
IT,2007Q3,105.0489
IT,2007Q4,104.8637
IT,2008Q1,104.3905
IT,2008Q2,104.2496
IT,2008Q3,103.6779
IT,2008Q4,102.5475
IT,2009Q1,103.1083
IT,2009Q2,102.4753
IT,2009Q3,102.3824
IT,2009Q4,101.6164
IT,2010Q1,99.656
IT,2010Q2,99.9658
IT,2010Q3,100.2743
IT,2010Q4,100.0999
IT,2011Q1,98.6249
IT,2011Q2,99.6767
IT,2011Q3,98.7747
IT,2011Q4,97.3914
IT,2012Q1,96.0855
IT,2012Q2,94.4326
