country,quarter,house_price_index,rent_index,leverage_ratio,ecb_shock,price_rent_ratio,log_house_price,log_rent,log_price_rent_ratio
FI,2007Q4,96.6425,66.00333333333333,94.75,0.02471865,1.4642063532144842,4.571018603057201,4.189705245801593,0.38131335725560733
FI,2008Q1,96.0886,66.48,95.61,0.03576784,1.445376052948255,4.565270682508774,4.196901150547193,0.3683695319615813
FI,2008Q2,95.6217,67.80333333333333,96.35,0.09407425,1.4102802222112976,4.560399781747301,4.216611357946286,0.34378842380101543
FI,2008Q3,93.6643,68.30333333333333,97.17,-0.0660172899999999,1.3712991069249916,4.539717113442508,4.223958569680631,0.3157585437618765
FI,2008Q4,90.1046,68.54333333333334,96.28,0.21300303,1.314564022759325,4.50097121769508,4.227466148665317,0.2735050690297619
FI,2009Q1,92.7232,69.74333333333333,96.35,-0.01359035,1.329491946661569,4.529618710946738,4.24482183668305,0.28479687426368855
FI,2009Q2,94.1247,70.82666666666667,97.42,0.05999923,1.3289443712349398,4.544620498863982,4.26023557761996,0.28438492124402304
FI,2009Q3,95.8955,71.04,97.69,0.0087045999999999,1.349880349099099,4.563259056909392,4.2632430986839145,0.30001595822547744
FI,2009Q4,98.0789,71.22,98.56,-0.07014606,1.377125807357484,4.585772256790588,4.265773677849632,0.3199985789409564
FI,2010Q1,99.6381,71.75666666666667,97.83,0.01189718,1.388555302643192,4.601544621565041,4.273280765538246,0.32826385602679514
FI,2010Q2,99.7295,71.95666666666666,98.84,0.0079532599999999,1.3859660907027378,4.60246152086466,4.2760640859786765,0.326397434885984
FI,2010Q3,100.9364,72.38,99.78,0.01648813,1.3945344017684445,4.614490615524777,4.281930018135596,0.33256059738918026
FI,2010Q4,99.6978,72.42,100.34,-0.0077428299999999,1.3766611433305715,4.602143610525735,4.282482504337495,0.3196611061882395
FI,2011Q1,99.6476,73.72333333333334,100.39,0.06421043,1.3516426278428355,4.601639962073739,4.30031934791252,0.3013206141612193
FI,2011Q2,100.6222,74.37333333333333,100.5,-0.07734268,1.3529338472570815,4.6113729092646185,4.309097454651124,0.3022754546134945
FI,2011Q3,99.987,74.87,101.21,-0.04513712,1.3354748230265792,4.605040177537359,4.315753276242594,0.2892869012947649
FI,2011Q4,98.79,75.30333333333333,101.46,0.06776825,1.3118941171262894,4.592996385056383,4.321524401201021,0.27147198385536153
FI,2012Q1,99.2969,76.1,102.17,0.01879029,1.3048212877792378,4.59811435203411,4.33204826486764,0.2660660871664703
FI,2012Q2,99.4951,77.23,102.97,0.08157494,1.288295998964133,4.600108396720755,4.346787982581173,0.2533204141395832
FI,2012Q3,99.3799,77.87333333333333,103.4,0.06135204,1.276173700881774,4.598949879934988,4.3550835750594405,0.24386630487554817
